X,Y,OBJECTID,No,Location,Latitude,Longitude,Type,DistrictL,DistrictS,Address,Provider,ParkingNo,img
114.2053604,22.32602501,56,56,Skyline Tower,22.32602501,114.2053604,Standard,Kowloon,Kwun Tong,"Skyline Tower Carpark Level 2,  39 Wang Kwong Road, Kowloon Bay, Kln",Others,null,/EV/PublishingImages/common/map/map_thumb/Skyline%20Tower.jpg
114.2195206,22.3130893700001,57,57,Westin Centre,22.31308937,114.2195206,Standard,Kowloon,Kwun Tong,"Westin Centre Carpark 1/F,  26 Hung To Road, Kwun Tong, Kln",Others,null,/EV/PublishingImages/common/map/map_thumb/Westin%20Centre.jpg
114.2031021,22.34069443,58,58,Hollywood Plaza,22.34069443,114.2031021,Standard,Kowloon,Wong Tai Sin,"Hollywood Plaza Carpark B1,  3 Lung Poon Street, Diamond Hill, Kln",Others,null,/EV/PublishingImages/common/map/map_thumb/Hollywood%20Plaza.jpg
114.1784287,22.2986316700001,59,59,Empire Centre,22.29863167,114.1784287,Standard,Kowloon,Yau Tsim Mong,"Empire Centre Carpark B/F,  68 Mody Road, Tsim Sha Tsui, Kln",Others,null,/EV/PublishingImages/common/map/map_thumb/Empire%20Centre.jpg
114.173317,22.2971534700001,60,60,K11 Art Mall,22.29715347,114.173317,Standard,Kowloon,Yau Tsim Mong,"K11 Art Mall Carpark B4,  18 Hanoi Road, Tsim Sha Tsui, Kln",Others,null,/EV/PublishingImages/common/map/map_thumb/K11%20Art%20Mall.jpg
114.157608,22.32005882,61,61,Olympian City I,22.32005882,114.157608,Standard,Kowloon,Yau Tsim Mong,"Olympian City I Carpark UG,  11 Hoi Fai Road, West Kowloon, Kln",Others,null,/EV/PublishingImages/common/map/map_thumb/Olympian%20City%20I.jpg
114.1424484,22.48747826,62,62,Avon Park,22.48747826,114.1424484,Standard,New Territories,North,"Avon Park, Carpark B1/F,  15 Yat Ming Road, Fanling, N.T.",Others,null,/EV/PublishingImages/common/map/map_thumb/Avon%20Park.jpg
114.1223602,22.5064926100001,63,63,Cambridge Plaza,22.50649261,114.1223602,Standard,New Territories,North,"Cambridge Plaza Carpark G/F,  188 San Wan Road, Sheung Shui, NT",Others,null,/EV/PublishingImages/common/map/map_thumb/Cambridge%20Plaza.jpg
114.1446533,22.5003337900001,64,64,Grand Regentville,22.50033379,114.1446533,Standard,New Territories,North,"Grand Regentville Carpark B2,  9 Wo Mun Street, Fanling, N.T.",Others,null,/EV/PublishingImages/common/map/map_thumb/Grand%20Regentville.jpg
114.1438599,22.5012283300001,65,65,Regentville Shopping Mall,22.50122833,114.1438599,Standard,New Territories,North,"Regentville Shopping Mall Carpark B1/F,   8 Wo Mun Street, Fanling, NT",Others,null,/EV/PublishingImages/common/map/map_thumb/Regentville%20Shopping%20Mall.jpg
